object_id,split,Z,EBV,is_train,target,Z_err
nadhras_galas_nestad,split_02,0.3673,0.081,1,0,
nagol_lavan_salab,split_02,0.4471,0.014,1,0,
nana_Mithrim_fuin,split_02,1.412,0.024,1,0,
nana_lost_luin,split_02,0.6367,0.019,1,0,
narthan_hub_daen,split_02,1.14,0.026,1,0,
nimbrethil_fern_aphadrim,split_02,0.9411,0.048,1,0,
noroth_hend_grond,split_02,0.2731,0.013,1,0,
nothrim_ninglor_tinuviel,split_02,0.7797,0.523,1,0,
paich_ithildin_gorn,split_02,1.215,0.032,1,0,
panas_magol_loss,split_02,0.2972,0.02,1,0,
panas_pilin_ah,split_02,0.3098,0.027,1,0,
parf_Ennor_idhren,split_02,0.9657,0.011,1,0,
pennas_baneth_ingem,split_02,1.504,0.088,1,0,
per_baug_cund,split_02,1.055,0.098,1,0,
pess_ank_cabor,split_02,0.2804,0.028,1,0,
rach_Gonhir_rom,split_02,0.5278,0.023,1,0,
raef_lossen_panas,split_02,1.553,0.039,1,0,
ram_haeron_imrath,split_02,0.921,0.031,1,0,
raug_parf_ungol,split_02,0.54,0.054,1,0,
rhach_aeglir_midh,split_02,0.516,0.043,1,0,
rhach_aeruil_glandagol,split_02,0.3403,0.041,1,0,
rhosc_menel_eirien,split_02,0.1963,0.131,1,0,
rhosc_meril_uir,split_02,0.2417,0.031,1,0,
rhun_anwar_iaun,split_02,0.3371,0.053,1,1,
rhun_gwador_toll,split_02,0.4661,0.021,1,0,
rist_lacha_hal,split_02,0.3501,0.062,1,0,
rochir_Sindarin_merilin,split_02,0.2753,0.058,1,0,
rovalug_adel_tamin,split_02,0.1927,0.043,1,0,
rovalug_drego_lachenn,split_02,1.728,0.061,1,0,
rovalug_imlad_alagos,split_02,0.466,0.015,1,0,
rudh_hul_cair,split_02,1.535,0.027,1,0,
ruith_rochben_aes,split_02,1.509,0.168,1,0,
rusc_erchion_balrog,split_02,0.3275,0.037,1,1,
saelor_glass_cenedril,split_02,0.7644,0.016,1,1,
saer_imrath_gorn,split_02,0.3642,0.067,1,0,
saig_Rochirrim_haust,split_02,0.595,0.024,1,0,
saig_sammar_faen,split_02,3.442,0.285,1,0,
sammar_gond_fast,split_02,1.147,0.027,1,0,
sirion_lobor_angos,split_02,0.3241,0.147,1,0,
soga_yll_cirdan,split_02,0.2745,0.076,1,0,
talraph_glamor_galad,split_02,1.374,0.022,1,0,
tathar_noroth_thor,split_02,0.6992,0.064,1,0,
thamas_gwilwileth_cund,split_02,0.2436,0.013,1,0,
thamas_minas_tavor,split_02,0.8432,0.023,1,0,
thamas_sammar_ira,split_02,1.566,0.026,1,0,
thangail_fae_riel,split_02,0.9686,0.035,1,0,
thor_cabor_eilian,split_02,0.3599,0.03,1,0,
thor_ennorath_iar,split_02,0.479,0.155,1,0,
thor_lobor_hand,split_02,0.2534,0.045,1,0,
thul_neledh_nur,split_02,0.355,0.093,1,0,
tinuviel_randir_cuil,split_02,0.4636,0.049,1,0,
tinuviel_tamin_melethron,split_02,0.3637,0.018,1,0,
tirith_amath_mil,split_02,0.171,0.12,1,0,
Druadan_lorn_morgul,split_03,1.027,0.01,1,0,
Eluwaith_lain_curunir,split_03,0.2313,0.028,1,0,
Eru_saelor_tegilbor,split_03,0.8868,0.057,1,1,
Mithrim_merilin_gwachaedir,split_03,0.4973,0.012,1,0,
Rochirrim_pent_gil,split_03,0.4917,0.024,1,0,
Sindarin_rusc_glamog,split_03,0.1683,0.029,1,0,
acharn_nost_mil,split_03,0.4679,0.058,1,0,
acharn_uir_bregedur,split_03,0.2427,0.075,1,0,
adab_Gonhir_gwanur,split_03,1.805,0.048,1,0,
adar_inias_hand,split_03,0.2823,0.168,1,0,
aerlinn_raef_nimbrethil,split_03,0.5853,0.006,1,0,
aes_perian_fae,split_03,0.7027,0.054,1,0,
aes_rhovan_erchion,split_03,0.2652,0.112,1,0,
ah_fervain_Ennor,split_03,1.11,0.028,1,0,
ah_mir_Mithrim,split_03,0.4663,0.05,1,0,
amarth_ai_Gonhir,split_03,0.3553,0.036,1,0,
amarth_heledir_gil,split_03,0.8177,0.024,1,0,
amath_celon_agarwaen,split_03,1.393,0.058,1,0,
anann_rom_anwar,split_03,0.5453,0.045,1,0,
angos_tamin_haust,split_03,0.8678,0.08,1,0,
ank_fast_luithien,split_03,0.3897,0.045,1,0,
ank_glandagol_law,split_03,0.4885,0.01,1,0,
anwar_gas_gaw,split_03,0.3641,0.006,1,0,
aphadrim_lain_minai,split_03,1.108,0.047,1,0,
aran_aear_muinthel,split_03,1.5,0.506,1,0,
aras_Elrim_Gwathuirim,split_03,0.893,0.011,1,0,
badhor_firiel_tinnu,split_03,0.2127,0.03,1,0,
bain_gobennas_minas,split_03,0.9152,0.025,1,0,
cabor_paich_galad,split_03,1.013,0.061,1,0,
calad_laug_erchion,split_03,0.3213,0.053,1,0,
callon_thangail_aerlinn,split_03,0.372,0.019,1,0,
certh_adel_imlad,split_03,0.3687,0.057,1,0,
certh_curunir_luith,split_03,0.4155,0.05,1,0,
cirdan_luith_maethor,split_03,0.2899,0.032,1,0,
cirion_cair_echad,split_03,1.067,0.014,1,0,
cugu_ruith_toll,split_03,1.023,0.275,1,0,
cuil_magor_andrann,split_03,0.7353,0.026,1,0,
daen_saelor_gil,split_03,0.579,0.048,1,0,
dagnir_archam_raegdan,split_03,1.102,0.019,1,0,
edlothiad_Ennor_graw,split_03,0.9145,0.022,1,0,
elvellon_gador_fern,split_03,0.2687,0.077,1,0,
erchion_lobor_hwiniol,split_03,0.8859,0.018,1,1,
eryn_roch_tann,split_03,0.3143,0.046,1,0,
fang_aegas_fervain,split_03,0.8779,0.04,1,0,
faradrim_yll_honeg,split_03,0.274,0.021,1,0,
faun_faradrim_cae,split_03,0.3749,0.151,1,0,
fern_lagor_guldur,split_03,1.348,0.017,1,0,
fervain_tamin_firion,split_03,1.861,0.036,1,0,
firiel_maen_sirion,split_03,0.2202,0.032,1,0,
forodrim_dunedhel_galadhrim,split_03,1.115,0.027,1,0,
fuin_helegnen_rochir,split_03,0.5743,0.014,1,0,
galadhrim_aderthad_balrog,split_03,1.167,0.019,1,0,
galadhrim_inias_Dornhoth,split_03,1.046,0.063,1,0,
galadhrim_uruk_gwend,split_03,0.9862,0.047,1,0,
galvorn_gador_braig,split_03,1.72,0.022,1,0,
gas_magol_idhren,split_03,0.4296,0.009,1,0,
gil_amdir_corf,split_03,0.2896,0.195,1,0,
gilgalad_nidh_mir,split_03,0.473,0.097,1,0,
glaur_Rochirrim_aeglir,split_03,2.238,0.055,1,0,
gwador_pent_faun,split_03,1.158,0.089,1,0,
gwaloth_aith_ulug,split_03,0.2051,0.213,1,0,
gwanur_adar_anwar,split_03,0.3739,0.084,1,0,
gwarth_lin_lasguil,split_03,0.3165,0.052,1,0,
gwarth_rach_magor,split_03,1.074,0.1,1,0,
gwathui_gwael_heron,split_03,0.4153,0.043,1,0,
gwathui_navaer_glaur,split_03,1.012,0.017,1,1,
gwaun_naer_tamin,split_03,0.4049,0.295,1,0,
gwend_dol_inias,split_03,0.8115,0.178,1,0,
gwend_harad_lalaith,split_03,1.175,0.049,1,0,
gwilwileth_cair_tavor,split_03,0.7185,0.02,1,0,
hadhod_ram_calad,split_03,0.6482,0.038,1,0,
hal_alae_suil,split_03,1.148,0.023,1,0,
hast_eryn_ah,split_03,1.005,0.16,1,0,
haust_vin_uan,split_03,0.27,0.023,1,0,
heleg_agar_melethron,split_03,0.8745,0.013,1,0,
helegnen_idhren_hul,split_03,0.3011,0.039,1,0,
helegnen_tachol_corf,split_03,0.5867,0.018,1,0,
imrad_lebed_corf,split_03,0.1954,0.027,1,0,
imrath_gaurwaith_mil,split_03,0.5669,0.052,1,0,
in_hervenn_malad,split_03,0.7953,0.029,1,0,
lain_bronwe_tamin,split_03,0.5517,0.022,1,0,
lain_gilgalad_pess,split_03,0.1979,0.029,1,0,
lam_gwanur_lin,split_03,0.7448,0.018,1,0,
lam_lathron_talraph,split_03,0.3745,0.023,1,0,
laug_imrath_gaur,split_03,0.9357,0.128,1,0,
lebed_nadhras_iphant,split_03,0.6444,0.024,1,0,
lebenedh_imrad_adab,split_03,0.2608,0.201,1,0,
lebenedh_law_gwaloth,split_03,0.271,0.028,1,0,
lhug_amlug_ithildin,split_03,0.547,0.032,1,0,
lin_cirion_maecheneb,split_03,0.3497,0.008,1,0,
lossen_rovalug_luithien,split_03,2.28,0.092,1,0,
luin_thor_aear,split_03,0.4488,0.137,1,0,
lunt_gwend_imrath,split_03,0.53,0.048,1,0,
magol_hador_thor,split_03,0.1649,0.014,1,0,
magor_aiglos_amon,split_03,1.174,0.068,1,0,
melethron_drafn_Gwathuirim,split_03,0.3518,0.022,1,0,
mil_emel_mir,split_03,0.4087,0.068,1,0,
min_heleg_pethron,split_03,0.6968,0.036,1,0,
morgul_lembas_dam,split_03,0.4037,0.012,1,0,
muil_bragol_aeruil,split_03,0.6255,0.028,1,0,
muil_inias_dunadan,split_03,0.5594,0.054,1,0,
muinthel_aegas_Druadan,split_03,1.365,0.022,1,0,
muinthel_cuil_uan,split_03,1.97,0.096,1,0,
mund_parf_Eru,split_03,0.1189,0.036,1,0,
nana_celeb_fast,split_03,0.2925,0.025,1,0,
narthan_puig_haeron,split_03,0.296,0.024,1,0,
nell_dam_guldur,split_03,0.8129,0.019,1,0,
nell_rusc_roch,split_03,0.7213,0.021,1,0,
nestad_sogannen_gobennas,split_03,0.9296,0.037,1,0,
nidh_pendrath_dunedhel,split_03,2.303,0.114,1,0,
nim_cuin_saer,split_03,0.977,0.038,1,0,
nimp_tamin_alagos,split_03,1.199,0.013,1,0,
ninglor_ank_helegnen,split_03,0.5953,0.231,1,0,
nost_tachol_rom,split_03,0.6114,0.017,1,0,
nur_angos_gaurwaith,split_03,0.3533,0.036,1,0,
pent_gobennas_achas,split_03,0.1913,0.076,1,0,
perian_gwaun_minuial,split_03,0.6348,0.022,1,0,
pilin_minai_bellas,split_03,0.6522,0.031,1,0,
ram_ogol_cuil,split_03,0.5709,0.113,1,0,
riel_edlothiad_elvellon,split_03,1.868,0.053,1,0,
ris_heledh_Tawarwaith,split_03,0.2926,0.038,1,0,
ris_hud_magor,split_03,0.285,0.016,1,0,
rochir_eirien_tann,split_03,0.4236,0.132,1,0,
romru_Gwathuirim_per,split_03,1.368,0.052,1,0,
romru_ithildin_alagos,split_03,0.5738,0.016,1,0,
ruith_bain_gwachaedir,split_03,0.9649,0.044,1,0,
rusc_emel_rist,split_03,0.791,0.039,1,0,
sador_bass_tinuviel,split_03,0.7934,0.028,1,0,
saer_ylf_hervess,split_03,0.5495,0.018,1,0,
saew_aglareb_rhun,split_03,0.9365,0.022,1,0,
saig_forodrim_bass,split_03,1.599,0.014,1,0,
tang_Gwathuirim_aerlinn,split_03,1.923,0.031,1,0,
thamas_pethron_eilian,split_03,0.806,0.078,1,0,
thangail_aran_adan,split_03,2.616,0.029,1,0,
thangail_rhun_meldir,split_03,0.6349,0.079,1,0,
uan_bellas_iaun,split_03,0.7813,0.073,1,0,
ulug_espalass_muil,split_03,1.005,0.125,1,0,
vin_celeb_ruith,split_03,0.3248,0.092,1,0,
Dornhoth_rist_lalaith,split_04,0.2716,0.013,1,0,
Elrim_firiel_soga,split_04,0.5487,0.033,1,0,
Elrim_heledir_fervain,split_04,0.2919,0.039,1,0,
Gwathuirim_meldir_fuin,split_04,0.4287,0.008,1,1,
Ithil_uanui_Eluwaith,split_04,1.199,0.037,1,0,
Mirion_baug_angos,split_04,0.5798,0.043,1,0,
Sindarin_araf_pilin,split_04,0.3755,0.086,1,1,
adar_amlug_eryn,split_04,1.552,0.08,1,0,
adel_glae_melethron,split_04,0.2226,0.015,1,0,
aderthad_ulug_nadhras,split_04,0.8129,0.207,1,0,
aduial_anann_aphadrim,split_04,0.2698,0.164,1,0,
