object_id,Z,EBV,Z_err,Z_isna,EBV_isna,Zerr_isna,is_train
limlug_pess_gwend,0.3901,0.082,,0,0,1,1
lobor_mithren_fang,0.312,0.017,,0,0,1,1
lossen_pess_duin,0.1988,0.028,,0,0,1,1
lost_ungol_draug,0.1768,0.129,,0,0,1,1
luith_gobennas_ang,1.131,0.359,,0,0,1,1
luith_saig_aranarth,0.6755,0.06,,0,0,1,1
luithien_mindon_eirien,0.3436,0.074,,0,0,1,1
maethor_meldir_rhosc,0.2127,0.194,,0,0,1,1
magor_elvellon_caras,0.1562,0.05,,0,0,1,1
malad_saer_balrog,0.2828,0.058,,0,0,1,1
manadh_gaurwaith_lalaith,1.338,0.053,,0,0,1,1
melethron_panas_aeglir,0.1916,0.074,,0,0,1,1
mereth_aiglos_ram,1.145,0.035,,0,0,1,1
mindon_helegnen_galad,0.4303,0.051,,0,0,1,1
mithril_suil_cugu,0.179,0.081,,0,0,1,1
myril_thurin_ist,1.859,0.083,,0,0,1,1
nadhras_pethron_ulug,0.1769,0.027,,0,0,1,1
narthan_cugu_mir,0.09049,0.052,,0,0,1,1
neledh_eglan_gwaloth,0.4354,0.028,,0,0,1,1
nestad_agarwaen_saer,0.7086,0.016,,0,0,1,1
nimbrethil_adab_maethor,0.1475,0.032,,0,0,1,1
nur_nidh_fuin,0.3193,0.011,,0,0,1,1
ogol_saig_adab,1.244,0.009,,0,0,1,1
onodrim_hervess_firion,0.2837,0.032,,0,0,1,1
paich_Mirion_aeruil,1.357,0.009,,0,0,1,1
paich_erchion_ablad,1.52,0.083,,0,0,1,1
paich_graw_haradrim,0.4069,0.031,,0,0,1,1
panas_lalaith_bronwe,0.3565,0.027,,0,0,1,1
parf_per_ruith,2.112,0.055,,0,0,1,1
pendrath_Gwathuirim_Elrim,0.159,0.325,,0,0,1,1
pent_agor_bronwe,0.4184,0.1,,0,0,1,1
per_hwiniol_nimbrethil,1.199,0.161,,0,0,1,1
perian_gwend_gwilwileth,1.14,0.025,,0,0,1,1
perian_mir_balrog,0.1552,0.009,,0,0,1,1
pethron_corf_menel,0.1991,0.013,,0,0,1,1
raef_hud_baug,0.151,0.023,,0,0,1,1
ram_thavron_rusc,0.1555,0.011,,0,0,1,1
rhach_bellas_alae,0.3609,0.004,,0,0,1,1
rhun_mir_magol,0.2395,0.124,,0,0,1,1
riel_glae_gellui,0.4458,0.044,,0,0,1,1
riel_glass_lasguil,0.966,0.02,,0,0,1,1
riel_nadhras_firiel,0.1646,0.075,,0,0,1,1
ris_hul_minas,0.8378,0.031,,0,0,1,1
ris_perian_Tawarwaith,0.4146,0.067,,0,0,1,1
rist_anwar_amlug,0.2454,0.087,,0,0,1,1
roch_hal_eryn,1.379,0.037,,0,0,1,1
roch_magol_luin,0.8191,0.051,,0,0,1,1
rochben_roch_naer,0.3472,0.047,,0,0,1,1
rom_cae_mil,0.8086,0.017,,0,0,1,1
rom_lass_laug,0.5683,0.027,,0,0,1,1
romru_elvellon_alph,0.3065,0.012,,0,0,1,1
rudh_achas_lachenn,0.9021,0.032,,0,0,1,1
ruith_nell_alph,0.4689,0.019,,0,0,1,1
ruith_nur_aranarth,0.2025,0.015,,0,0,1,1
ryn_amarth_rhach,1.18,0.009,,0,0,1,1
saig_nagol_rodwen,0.1517,0.15,,0,0,1,1
salph_iar_merilin,0.3409,0.068,,0,0,1,1
sammar_luin_rom,0.4041,0.022,,0,0,1,1
soga_forodrim_aith,0.7238,0.088,,0,0,1,1
soga_galad_amon,0.3023,0.008,,0,0,1,1
suil_sogannen_bain,0.4731,0.07,,0,0,1,1
talraph_anann_nestad,0.7502,0.011,,0,0,1,1
tang_aranarth_gwanur,1.047,0.037,,0,0,1,1
tavor_hud_parf,0.2845,0.02,,0,0,1,1
tavor_luin_espalass,0.8608,0.024,,0,0,1,1
thamas_hud_cuil,0.2896,0.038,,0,0,1,1
thul_iar_lalaith,0.2996,0.008,,0,0,1,1
tinnu_maen_gaurwaith,0.4968,0.086,,0,0,1,1
tirith_randir_gwanur,0.1494,0.159,,0,0,1,1
tobas_Elrim_salph,0.2758,0.064,,0,0,1,1
tobas_hub_glandagol,0.3751,0.013,,0,0,1,1
uir_edlothiad_espalass,0.9238,0.031,,0,0,1,1
uruk_narthan_lin,0.3303,0.043,,0,0,1,1
ylf_gath_dannas,0.3067,0.037,,0,0,1,1
Druadan_rodwen_bragol,0.3249,0.014,,0,0,1,1
Elrim_harad_menel,0.7035,0.043,,0,0,1,1
Eluwaith_nestad_in,0.1411,0.057,,0,0,1,1
Ennor_nimp_rovalug,0.9656,0.015,,0,0,1,1
Rochirrim_dunadan_annon,0.4505,0.01,,0,0,1,1
Rochirrim_pennas_fervain,0.3651,0.007,,0,0,1,1
aes_faun_melethron,0.3338,0.03,,0,0,1,1
agor_galenas_pod,1.658,0.028,,0,0,1,1
agor_gaurwaith_hervenn,0.5263,0.043,,0,0,1,1
ah_eirien_mithren,0.3297,0.017,,0,0,1,1
aiglos_iphant_corf,1.243,0.186,,0,0,1,1
amath_lobor_rhun,0.3376,0.021,,0,0,1,1
amloth_gaw_lalaith,0.3638,0.045,,0,0,1,1
amloth_talraph_puig,0.1386,0.051,,0,0,1,1
angos_rochir_aras,0.3213,0.064,,0,0,1,1
ank_raegdan_iaun,0.8888,0.021,,0,0,1,1
araf_gwaun_nagol,0.1737,0.012,,0,0,1,1
aran_lin_gwaun,0.5582,0.052,,0,0,1,1
badhor_mirdan_hwiniol,1.291,0.198,,0,0,1,1
bass_thamas_galadhrim,1.915,0.009,,0,0,1,1
bellas_nell_amath,0.9208,0.041,,0,0,1,1
bellas_rochben_aith,0.8892,0.033,,0,0,1,1
bragol_gwathui_gobennas,0.4944,0.085,,0,0,1,1
bragol_ninglor_ank,0.3629,0.019,,0,0,1,1
braig_dunedhel_elu,0.1851,0.037,,0,0,1,1
calad_suil_badhor,0.9764,0.032,,0,0,1,1
callon_daen_harad,0.3617,0.052,,0,0,1,1
callon_pess_hand,0.4429,0.077,,0,0,1,1
caras_uanui_merilin,0.2828,0.042,,0,0,1,1
celeb_Ithil_cuin,0.4924,0.043,,0,0,1,1
celon_agor_elu,0.8583,0.018,,0,0,1,1
cirdan_araf_maecheneb,0.1988,0.04,,0,0,1,1
cuin_corch_nothrim,0.3552,0.007,,0,0,1,1
cuin_gondrath_aith,0.1376,0.027,,0,0,1,1
cuin_pess_uir,0.6801,0.015,,0,0,1,1
cund_Mirion_dunedhel,0.2263,0.117,,0,0,1,1
dirnaith_heledh_minas,0.9246,0.351,,0,0,1,1
dol_mirdan_adan,1.066,0.021,,0,0,1,1
drafn_achas_rochben,0.2485,0.029,,0,0,1,1
drego_amlug_galadhrim,0.3793,0.033,,0,0,1,1
dunedhel_min_hub,0.4587,0.017,,0,0,1,1
edlothiad_celeb_menel,0.3601,0.028,,0,0,1,1
eilian_hud_lossen,0.2667,0.052,,0,0,1,1
erchion_lend_lain,0.2004,0.012,,0,0,1,1
eredh_nothrim_hador,0.3184,0.036,,0,0,1,1
espalass_ryn_ist,0.4779,0.018,,0,0,1,1
fast_cenedril_pod,0.2191,0.029,,0,0,1,1
faun_heledh_onodrim,2.63,0.012,,0,0,1,1
firiel_tinuviel_ennorath,0.6018,0.031,,0,0,1,1
gador_galad_myril,0.7805,0.123,,0,0,1,1
galadhrim_bellas_amarth,0.2464,0.048,,0,0,1,1
gath_laes_gaur,0.4214,0.034,,0,0,1,1
gaurwaith_tamin_ungol,0.3112,0.035,,0,0,1,1
gaw_hador_peredhel,2.978,0.016,,0,0,1,1
gellui_maecheneb_raef,0.7269,0.271,,0,0,1,1
gil_mithren_luithien,0.7253,0.03,,0,0,1,1
glandagol_dunadan_min,0.3877,0.019,,0,0,1,1
glass_menel_rudh,0.3169,0.043,,0,0,1,1
glass_nidh_cenedril,0.7997,0.006,,0,0,1,1
gobennas_gondrath_puig,0.2942,0.109,,0,0,1,1
gond_Mirion_lain,2.28,0.129,,0,0,1,1
gondrath_haudh_mund,0.591,0.036,,0,0,1,1
gorn_lebenedh_bregedur,0.2083,0.122,,0,0,1,1
gorn_narthan_agar,0.3135,0.058,,0,0,1,1
grond_ogol_pennas,0.5995,0.016,,0,0,1,1
gul_celon_gond,0.2138,0.035,,0,0,1,1
gul_eirien_anwar,0.2749,0.078,,0,0,1,1
gwanur_Gwathuirim_Rochirrim,0.8757,0.044,,0,0,1,1
gwanur_thul_firion,0.2865,0.025,,0,0,1,1
gwarth_bellas_glamor,0.3249,0.061,,0,0,1,1
gwend_grond_Mithrim,0.5089,0.074,,0,0,1,1
harad_archam_cae,2.625,0.056,,0,0,1,1
harad_rochben_forodrim,0.2032,0.035,,0,0,1,1
harad_tirith_mithren,0.3465,0.012,,0,0,1,1
haradrim_fae_maecheneb,0.4347,0.129,,0,0,1,1
haudh_pod_maecheneb,0.1868,0.019,,0,0,1,1
helegnen_faradrim_cae,0.786,0.02,,0,0,1,1
hervenn_rhosc_honeg,0.7202,0.071,,0,0,1,1
hervenn_tang_callon,0.2768,0.043,,0,0,1,1
hervess_bellas_aiglos,0.4829,0.025,,0,0,1,1
honeg_fern_saig,0.9922,0.025,,0,0,1,1
honeg_romru_soga,0.2863,0.011,,0,0,1,1
hud_bregedur_rist,0.3306,0.048,,0,0,1,1
idhren_aear_min,0.7894,0.115,,0,0,1,1
idhren_paich_merilin,1.192,0.008,,0,0,1,1
ithron_andrann_lebdas,0.3655,0.012,,0,0,1,1
lacha_Ennor_ogol,0.1557,0.037,,0,0,1,1
lachenn_dirnaith_gwador,1.404,0.033,,0,0,1,1
lachenn_imlad_cugu,0.6652,0.072,,0,0,1,1
laer_rusc_uruk,0.7135,0.012,,0,0,1,1
lain_imlad_salph,0.9622,0.145,,0,0,1,1
lain_tinuviel_aduial,0.1681,0.028,,0,0,1,1
lam_aeruil_muinthel,0.3837,0.129,,0,0,1,1
lam_anann_gador,0.821,0.024,,0,0,1,1
law_ithildin_andrann,1.503,0.081,,0,0,1,1
law_pent_sammar,0.3708,0.022,,0,0,1,1
lorn_thul_gwathui,0.2045,0.008,,0,0,1,1
loss_iaun_gwael,0.8871,0.016,,0,0,1,1
loss_laer_amloth,1.36,0.116,,0,0,1,1
loss_toll_perian,0.3681,0.012,,0,0,1,1
lossen_aear_faun,0.2633,0.059,,0,0,1,1
luith_fast_aear,1.466,0.073,,0,0,1,1
maethor_tobas_laug,0.9321,0.039,,0,0,1,1
magol_mund_baug,0.3846,0.056,,0,0,1,1
magor_hend_amarth,1.437,0.041,,0,0,1,1
melethron_graw_imrath,0.3006,0.021,,0,0,1,1
menel_hervess_lend,1.025,0.012,,0,0,1,1
mereth_faun_bass,0.4729,0.027,,0,0,1,1
mereth_lachenn_heleg,0.312,0.018,,0,0,1,1
min_noroth_manadh,1.559,0.028,,0,0,1,1
minai_uruk_rochir,2.404,0.048,,0,0,1,1
minas_lain_cirion,0.253,0.2,,0,0,1,1
mindon_tang_firion,0.4086,0.072,,0,0,1,1
minuial_meril_salab,0.297,0.036,,0,0,1,1
morgul_ennorath_magor,0.3196,0.023,,0,0,1,1
morn_sogannen_midh,0.3699,0.022,,0,0,1,1
muinthel_iphant_tathar,0.8457,0.025,,0,0,1,1
nadhras_galas_nestad,0.3673,0.081,,0,0,1,1
nagol_lavan_salab,0.4471,0.014,,0,0,1,1
nana_Mithrim_fuin,1.412,0.024,,0,0,1,1
nana_lost_luin,0.6367,0.019,,0,0,1,1
narthan_hub_daen,1.14,0.026,,0,0,1,1
nimbrethil_fern_aphadrim,0.9411,0.048,,0,0,1,1
noroth_hend_grond,0.2731,0.013,,0,0,1,1
nothrim_ninglor_tinuviel,0.7797,0.523,,0,0,1,1
paich_ithildin_gorn,1.215,0.032,,0,0,1,1
panas_magol_loss,0.2972,0.02,,0,0,1,1
panas_pilin_ah,0.3098,0.027,,0,0,1,1
parf_Ennor_idhren,0.9657,0.011,,0,0,1,1
pennas_baneth_ingem,1.504,0.088,,0,0,1,1
per_baug_cund,1.055,0.098,,0,0,1,1
pess_ank_cabor,0.2804,0.028,,0,0,1,1
rach_Gonhir_rom,0.5278,0.023,,0,0,1,1
raef_lossen_panas,1.553,0.039,,0,0,1,1
ram_haeron_imrath,0.921,0.031,,0,0,1,1
raug_parf_ungol,0.54,0.054,,0,0,1,1
rhach_aeglir_midh,0.516,0.043,,0,0,1,1
rhach_aeruil_glandagol,0.3403,0.041,,0,0,1,1
rhosc_menel_eirien,0.1963,0.131,,0,0,1,1
rhosc_meril_uir,0.2417,0.031,,0,0,1,1
rhun_anwar_iaun,0.3371,0.053,,0,0,1,1
rhun_gwador_toll,0.4661,0.021,,0,0,1,1
rist_lacha_hal,0.3501,0.062,,0,0,1,1
rochir_Sindarin_merilin,0.2753,0.058,,0,0,1,1
rovalug_adel_tamin,0.1927,0.043,,0,0,1,1
rovalug_drego_lachenn,1.728,0.061,,0,0,1,1
rovalug_imlad_alagos,0.466,0.015,,0,0,1,1
rudh_hul_cair,1.535,0.027,,0,0,1,1
ruith_rochben_aes,1.509,0.168,,0,0,1,1
rusc_erchion_balrog,0.3275,0.037,,0,0,1,1
saelor_glass_cenedril,0.7644,0.016,,0,0,1,1
saer_imrath_gorn,0.3642,0.067,,0,0,1,1
saig_Rochirrim_haust,0.595,0.024,,0,0,1,1
saig_sammar_faen,3.442,0.285,,0,0,1,1
sammar_gond_fast,1.147,0.027,,0,0,1,1
sirion_lobor_angos,0.3241,0.147,,0,0,1,1
soga_yll_cirdan,0.2745,0.076,,0,0,1,1
talraph_glamor_galad,1.374,0.022,,0,0,1,1
tathar_noroth_thor,0.6992,0.064,,0,0,1,1
thamas_gwilwileth_cund,0.2436,0.013,,0,0,1,1
thamas_minas_tavor,0.8432,0.023,,0,0,1,1
thamas_sammar_ira,1.566,0.026,,0,0,1,1
thangail_fae_riel,0.9686,0.035,,0,0,1,1
thor_cabor_eilian,0.3599,0.03,,0,0,1,1
thor_ennorath_iar,0.479,0.155,,0,0,1,1
thor_lobor_hand,0.2534,0.045,,0,0,1,1
thul_neledh_nur,0.355,0.093,,0,0,1,1
tinuviel_randir_cuil,0.4636,0.049,,0,0,1,1
tinuviel_tamin_melethron,0.3637,0.018,,0,0,1,1
tirith_amath_mil,0.171,0.12,,0,0,1,1
Druadan_lorn_morgul,1.027,0.01,,0,0,1,1
Eluwaith_lain_curunir,0.2313,0.028,,0,0,1,1
Eru_saelor_tegilbor,0.8868,0.057,,0,0,1,1
Mithrim_merilin_gwachaedir,0.4973,0.012,,0,0,1,1
Rochirrim_pent_gil,0.4917,0.024,,0,0,1,1
Sindarin_rusc_glamog,0.1683,0.029,,0,0,1,1
acharn_nost_mil,0.4679,0.058,,0,0,1,1
acharn_uir_bregedur,0.2427,0.075,,0,0,1,1
adab_Gonhir_gwanur,1.805,0.048,,0,0,1,1
adar_inias_hand,0.2823,0.168,,0,0,1,1
aerlinn_raef_nimbrethil,0.5853,0.006,,0,0,1,1
aes_perian_fae,0.7027,0.054,,0,0,1,1
aes_rhovan_erchion,0.2652,0.112,,0,0,1,1
ah_fervain_Ennor,1.11,0.028,,0,0,1,1
ah_mir_Mithrim,0.4663,0.05,,0,0,1,1
amarth_ai_Gonhir,0.3553,0.036,,0,0,1,1
amarth_heledir_gil,0.8177,0.024,,0,0,1,1
amath_celon_agarwaen,1.393,0.058,,0,0,1,1
anann_rom_anwar,0.5453,0.045,,0,0,1,1
angos_tamin_haust,0.8678,0.08,,0,0,1,1
ank_fast_luithien,0.3897,0.045,,0,0,1,1
ank_glandagol_law,0.4885,0.01,,0,0,1,1
anwar_gas_gaw,0.3641,0.006,,0,0,1,1
aphadrim_lain_minai,1.108,0.047,,0,0,1,1
aran_aear_muinthel,1.5,0.506,,0,0,1,1
aras_Elrim_Gwathuirim,0.893,0.011,,0,0,1,1
badhor_firiel_tinnu,0.2127,0.03,,0,0,1,1
bain_gobennas_minas,0.9152,0.025,,0,0,1,1
cabor_paich_galad,1.013,0.061,,0,0,1,1
calad_laug_erchion,0.3213,0.053,,0,0,1,1
callon_thangail_aerlinn,0.372,0.019,,0,0,1,1
certh_adel_imlad,0.3687,0.057,,0,0,1,1
certh_curunir_luith,0.4155,0.05,,0,0,1,1
cirdan_luith_maethor,0.2899,0.032,,0,0,1,1
cirion_cair_echad,1.067,0.014,,0,0,1,1
cugu_ruith_toll,1.023,0.275,,0,0,1,1
cuil_magor_andrann,0.7353,0.026,,0,0,1,1
daen_saelor_gil,0.579,0.048,,0,0,1,1
dagnir_archam_raegdan,1.102,0.019,,0,0,1,1
edlothiad_Ennor_graw,0.9145,0.022,,0,0,1,1
elvellon_gador_fern,0.2687,0.077,,0,0,1,1
erchion_lobor_hwiniol,0.8859,0.018,,0,0,1,1
eryn_roch_tann,0.3143,0.046,,0,0,1,1
fang_aegas_fervain,0.8779,0.04,,0,0,1,1
faradrim_yll_honeg,0.274,0.021,,0,0,1,1
faun_faradrim_cae,0.3749,0.151,,0,0,1,1
fern_lagor_guldur,1.348,0.017,,0,0,1,1
fervain_tamin_firion,1.861,0.036,,0,0,1,1
firiel_maen_sirion,0.2202,0.032,,0,0,1,1
forodrim_dunedhel_galadhrim,1.115,0.027,,0,0,1,1
fuin_helegnen_rochir,0.5743,0.014,,0,0,1,1
galadhrim_aderthad_balrog,1.167,0.019,,0,0,1,1
galadhrim_inias_Dornhoth,1.046,0.063,,0,0,1,1
galadhrim_uruk_gwend,0.9862,0.047,,0,0,1,1
galvorn_gador_braig,1.72,0.022,,0,0,1,1
gas_magol_idhren,0.4296,0.009,,0,0,1,1
gil_amdir_corf,0.2896,0.195,,0,0,1,1
gilgalad_nidh_mir,0.473,0.097,,0,0,1,1
glaur_Rochirrim_aeglir,2.238,0.055,,0,0,1,1
gwador_pent_faun,1.158,0.089,,0,0,1,1
gwaloth_aith_ulug,0.2051,0.213,,0,0,1,1
gwanur_adar_anwar,0.3739,0.084,,0,0,1,1
gwarth_lin_lasguil,0.3165,0.052,,0,0,1,1
gwarth_rach_magor,1.074,0.1,,0,0,1,1
gwathui_gwael_heron,0.4153,0.043,,0,0,1,1
gwathui_navaer_glaur,1.012,0.017,,0,0,1,1
gwaun_naer_tamin,0.4049,0.295,,0,0,1,1
gwend_dol_inias,0.8115,0.178,,0,0,1,1
gwend_harad_lalaith,1.175,0.049,,0,0,1,1
gwilwileth_cair_tavor,0.7185,0.02,,0,0,1,1
hadhod_ram_calad,0.6482,0.038,,0,0,1,1
hal_alae_suil,1.148,0.023,,0,0,1,1
hast_eryn_ah,1.005,0.16,,0,0,1,1
haust_vin_uan,0.27,0.023,,0,0,1,1
heleg_agar_melethron,0.8745,0.013,,0,0,1,1
helegnen_idhren_hul,0.3011,0.039,,0,0,1,1
helegnen_tachol_corf,0.5867,0.018,,0,0,1,1
imrad_lebed_corf,0.1954,0.027,,0,0,1,1
imrath_gaurwaith_mil,0.5669,0.052,,0,0,1,1
in_hervenn_malad,0.7953,0.029,,0,0,1,1
lain_bronwe_tamin,0.5517,0.022,,0,0,1,1
lain_gilgalad_pess,0.1979,0.029,,0,0,1,1
lam_gwanur_lin,0.7448,0.018,,0,0,1,1
lam_lathron_talraph,0.3745,0.023,,0,0,1,1
laug_imrath_gaur,0.9357,0.128,,0,0,1,1
lebed_nadhras_iphant,0.6444,0.024,,0,0,1,1
lebenedh_imrad_adab,0.2608,0.201,,0,0,1,1
lebenedh_law_gwaloth,0.271,0.028,,0,0,1,1
lhug_amlug_ithildin,0.547,0.032,,0,0,1,1
lin_cirion_maecheneb,0.3497,0.008,,0,0,1,1
lossen_rovalug_luithien,2.28,0.092,,0,0,1,1
luin_thor_aear,0.4488,0.137,,0,0,1,1
lunt_gwend_imrath,0.53,0.048,,0,0,1,1
magol_hador_thor,0.1649,0.014,,0,0,1,1
magor_aiglos_amon,1.174,0.068,,0,0,1,1
melethron_drafn_Gwathuirim,0.3518,0.022,,0,0,1,1
mil_emel_mir,0.4087,0.068,,0,0,1,1
min_heleg_pethron,0.6968,0.036,,0,0,1,1
morgul_lembas_dam,0.4037,0.012,,0,0,1,1
muil_bragol_aeruil,0.6255,0.028,,0,0,1,1
muil_inias_dunadan,0.5594,0.054,,0,0,1,1
muinthel_aegas_Druadan,1.365,0.022,,0,0,1,1
muinthel_cuil_uan,1.97,0.096,,0,0,1,1
mund_parf_Eru,0.1189,0.036,,0,0,1,1
nana_celeb_fast,0.2925,0.025,,0,0,1,1
narthan_puig_haeron,0.296,0.024,,0,0,1,1
nell_dam_guldur,0.8129,0.019,,0,0,1,1
nell_rusc_roch,0.7213,0.021,,0,0,1,1
nestad_sogannen_gobennas,0.9296,0.037,,0,0,1,1
nidh_pendrath_dunedhel,2.303,0.114,,0,0,1,1
nim_cuin_saer,0.977,0.038,,0,0,1,1
nimp_tamin_alagos,1.199,0.013,,0,0,1,1
ninglor_ank_helegnen,0.5953,0.231,,0,0,1,1
nost_tachol_rom,0.6114,0.017,,0,0,1,1
nur_angos_gaurwaith,0.3533,0.036,,0,0,1,1
pent_gobennas_achas,0.1913,0.076,,0,0,1,1
perian_gwaun_minuial,0.6348,0.022,,0,0,1,1
pilin_minai_bellas,0.6522,0.031,,0,0,1,1
ram_ogol_cuil,0.5709,0.113,,0,0,1,1
riel_edlothiad_elvellon,1.868,0.053,,0,0,1,1
ris_heledh_Tawarwaith,0.2926,0.038,,0,0,1,1
ris_hud_magor,0.285,0.016,,0,0,1,1
rochir_eirien_tann,0.4236,0.132,,0,0,1,1
romru_Gwathuirim_per,1.368,0.052,,0,0,1,1
romru_ithildin_alagos,0.5738,0.016,,0,0,1,1
ruith_bain_gwachaedir,0.9649,0.044,,0,0,1,1
rusc_emel_rist,0.791,0.039,,0,0,1,1
sador_bass_tinuviel,0.7934,0.028,,0,0,1,1
saer_ylf_hervess,0.5495,0.018,,0,0,1,1
saew_aglareb_rhun,0.9365,0.022,,0,0,1,1
saig_forodrim_bass,1.599,0.014,,0,0,1,1
tang_Gwathuirim_aerlinn,1.923,0.031,,0,0,1,1
thamas_pethron_eilian,0.806,0.078,,0,0,1,1
thangail_aran_adan,2.616,0.029,,0,0,1,1
thangail_rhun_meldir,0.6349,0.079,,0,0,1,1
uan_bellas_iaun,0.7813,0.073,,0,0,1,1
ulug_espalass_muil,1.005,0.125,,0,0,1,1
vin_celeb_ruith,0.3248,0.092,,0,0,1,1
Dornhoth_rist_lalaith,0.2716,0.013,,0,0,1,1
Elrim_firiel_soga,0.5487,0.033,,0,0,1,1
Elrim_heledir_fervain,0.2919,0.039,,0,0,1,1
Gwathuirim_meldir_fuin,0.4287,0.008,,0,0,1,1
Ithil_uanui_Eluwaith,1.199,0.037,,0,0,1,1
Mirion_baug_angos,0.5798,0.043,,0,0,1,1
Sindarin_araf_pilin,0.3755,0.086,,0,0,1,1
adar_amlug_eryn,1.552,0.08,,0,0,1,1
adel_glae_melethron,0.2226,0.015,,0,0,1,1
aderthad_ulug_nadhras,0.8129,0.207,,0,0,1,1
